epoch,loss,auc,auprc,f1,challenge
1,2.4472171999514103,0.7065573770491803,0.08174790798904275,0.07575757575757576,0.0
2,2.2738394010812044,0.7721311475409836,0.10432871476349738,0.07575757575757576,0.0
3,2.2517538610845804,0.7901639344262296,0.11642743221690591,0.07575757575757576,0.0
4,2.2690355330705643,0.7557377049180327,0.10221296772885374,0.07575757575757576,0.0
5,2.263085540384054,0.7540983606557377,0.09975311054654419,0.07575757575757576,0.0
6,2.267470134422183,0.8081967213114754,0.13608711403327556,0.07575757575757576,0.0
7,2.2485390789806843,0.8180327868852459,0.14706766917293235,0.07575757575757576,0.1999999996
8,2.2397048827260733,0.8057377049180328,0.12699741435035553,0.07575757575757576,0.0
9,2.248258374631405,0.8114754098360656,0.13253432003432003,0.07575757575757576,0.0
10,2.23660134524107,0.8213114754098361,0.14733710983710985,0.07575757575757576,0.1999999996
