epoch,loss,auc,auprc,f1,challenge
1,2.8206291139861683,0.7256410256410256,0.49182899008511016,0.060240963855421686,0.5999999988
2,2.625244723425971,0.7435897435897436,0.2913587487781036,0.060240963855421686,0.1999999996
3,2.597130741602109,0.6538461538461539,0.0913734859517992,0.060240963855421686,0.0
4,2.639969805140554,0.6512820512820513,0.1414395591628077,0.06172839506172839,0.1999999996
5,2.6804873825591287,0.694871794871795,0.1678362282878412,0.057971014492753624,0.3999999992
6,2.787665287653605,0.6243589743589744,0.1212845138055222,0.0641025641025641,0.1999999996
7,2.7458876930637124,0.6935897435897436,0.1700699719567644,0.050314465408805034,0.3999999992
8,2.692053568216018,0.5461538461538461,0.04764183964183964,0.05194805194805195,0.0
9,2.496623212908521,0.667948717948718,0.17339735639450432,0.05673758865248227,0.1999999996
10,2.6476624070862194,0.5897435897435898,0.2371897379353596,0.05405405405405406,0.1999999996
