epoch,loss,auc,auprc,f1,challenge
1,2.485803846269846,0.7000000000000001,0.2614441999755531,0.07575757575757576,0.3999999992
2,2.297009326517582,0.6057377049180328,0.07101870751190807,0.07575757575757576,0.0
3,2.283896079286933,0.6959016393442623,0.12613213599094336,0.07575757575757576,0.1999999996
4,2.2638404797762632,0.6508196721311474,0.10145193414180756,0.07575757575757576,0.1999999996
5,2.247343596071005,0.7073770491803278,0.16383234891567677,0.07575757575757576,0.1999999996
6,2.253817219287157,0.6819672131147541,0.12440382670918565,0.07575757575757576,0.1999999996
7,2.2550833486020565,0.6639344262295083,0.08493419106773144,0.07575757575757576,0.0
8,2.2474116180092096,0.6622950819672131,0.08610609315496534,0.07575757575757576,0.0
9,2.248624036088586,0.6639344262295083,0.08291260411321202,0.07575757575757576,0.0
10,2.2328903917223215,0.6827868852459017,0.10082125603864735,0.07575757575757576,0.1999999996
