epoch,loss,auc,auprc,f1,challenge
1,2.666029364650009,0.5971193979831216,0.046840685242998316,0.05230557467309016,0.0952380952154195
2,2.630153435253414,0.5864180605063523,0.042056141228262116,0.0546984572230014,0.0952380952154195
3,2.5756757922962326,0.6669484812479055,0.1244775330539831,0.05544005544005544,0.14285714282312925
4,2.5636850099634856,0.695221338695427,0.13040001705689805,0.055671537926235214,0.23809523803854873
5,2.5057347574982223,0.723357097157481,0.1768689146831983,0.055944055944055944,0.21428571423469386
