epoch,loss,auc,auprc,f1,challenge
1,2.8206291169296076,0.7256410256410256,0.49182899008511016,0.060240963855421686,0.5999999988
2,2.6252447175390925,0.7435897435897436,0.2913587487781036,0.060240963855421686,0.1999999996
3,2.5969615836202364,0.6192307692307693,0.06941844464090802,0.060240963855421686,0.0
4,2.6413237930815896,0.6230769230769231,0.08413335082961537,0.06172839506172839,0.1999999996
5,2.5848926143881714,0.7038461538461539,0.10046848928250544,0.05442176870748299,0.1999999996
6,2.6728951724959007,0.6448717948717949,0.13998153863498639,0.05128205128205128,0.3999999992
7,3.024319773838844,0.5820512820512821,0.15213708719410787,0.061068702290076333,0.3999999992
8,2.5504659281836615,0.667948717948718,0.10683196420223069,0.06329113924050633,0.1999999996
9,2.515516501885873,0.4948717948717949,0.03552103258211298,0.06060606060606061,0.0
10,2.7223150582961093,0.626923076923077,0.0932303328855053,0.05333333333333334,0.1999999996
