epoch,loss,auc,auprc,f1,challenge
1,2.530492790043354,0.7049180327868853,0.12857142857142856,0.08955223880597014,0.0
2,2.2140915393829346,0.8469945355191257,0.2748917748917749,0.08955223880597014,0.3333333322222222
3,2.2868738137185574,0.8360655737704918,0.23444444444444446,0.08955223880597014,0.3333333322222222
4,2.075507439672947,0.7868852459016393,0.16175548589341693,0.12244897959183673,0.0
5,2.2450163662433624,0.8087431693989071,0.21966794380587484,0.0967741935483871,0.3333333322222222
6,1.9417589381337166,0.7868852459016392,0.19444444444444445,0.13043478260869565,0.3333333322222222
7,1.7597349137067795,0.7431693989071039,0.17025518341307813,0.13333333333333333,0.0
8,1.7518365606665611,0.7923497267759563,0.25555555555555554,0.13043478260869565,0.3333333322222222
9,1.6450148969888687,0.7595628415300546,0.2381404174573055,0.13043478260869565,0.3333333322222222
10,1.6245099380612373,0.7322404371584699,0.23366013071895425,0.13953488372093023,0.3333333322222222
