,n_samples,n_positive,tpr_5pct,auroc,auprc
samitrop,1631.0,1631.0,0.04966278356836297,,0.9999999999999999
code15,59700.0,1215.0,0.4831275720164609,0.8610015511697805,0.18959559389435354
