epoch,loss,auc,auprc,f1,challenge
1,2.6624447402108187,0.6762800155028954,0.0568413762420359,0.05719505340078696,0.17564402809893104
2,2.671537884713051,0.664041585647652,0.05151430312147797,0.05540090976984181,0.13583138172984002
3,2.651328509350234,0.6352232707692188,0.03949596584329462,0.05685757869920954,0.07728337236352967
4,2.6331329079275485,0.6296806559415327,0.03884138661451173,0.056687715269804824,0.08665105386213932
5,2.635253798951244,0.6495116677872195,0.04630016658088029,0.05536615300695486,0.10772833723401104
6,2.637561175629257,0.6527313212141775,0.044502599069387444,0.057091882247992866,0.08665105386213932
7,2.6055879286815595,0.6502659052303088,0.045180545660732645,0.055883564465192916,0.11007025760866346
8,2.6210903139893764,0.6969055807126235,0.04884728664278323,0.05663741086121777,0.09367681498609656
9,2.577291705591438,0.6829349151162522,0.053242712226209944,0.05669356507345334,0.12412177985657794
10,2.573577403086601,0.6894038968859624,0.05853711228793162,0.05631244323342416,0.14519906322844967
