epoch,loss,auc,auprc,f1,challenge
1,1.9669914397350374,0.8246073157792237,0.5779775719366081,0.10207852193995381,0.5551020407936693
2,1.8449083362893919,0.8888023718865632,0.6496726365076897,0.11195445920303605,0.6367346938515618
3,1.8580895717067858,0.8765101302120057,0.6537533363512107,0.10232350312779268,0.6285714285457725
4,1.8793013454953904,0.8068050714856526,0.5709683558346166,0.09301337863665322,0.5714285714052478
5,1.855233421352451,0.8683844712613575,0.6335603421234208,0.10482374768089053,0.6122448979341941
6,1.7933094465679793,0.8691493576700177,0.6517455071822139,0.105950991831972,0.6163265305870886
7,1.7352968789330772,0.8902482019461289,0.6931029442964382,0.10734853720340935,0.644897959157351
8,1.6839876256925557,0.8900098045141056,0.6840270186785868,0.10621103671207573,0.6489795918102457
9,1.6556246486326927,0.8980716669688606,0.6909396110753138,0.10606060606060606,0.644897959157351
10,1.6441332851121275,0.9056647930643136,0.7011527006463116,0.1078204534937529,0.644897959157351
